"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP5664","scandens",13.47,8.07,7.64,0
"JP5665","fortis small",12.08,11.07,9.54,0
"JP5666","fortis small",11.63,10.58,9.04,0
"JP5667","fortis small",11.22,10.65,9.21,0
"JP567","fuliginosa",8.78,6.59,6.552211647,0
"JP568","fuliginosa",8.24,6.7,6.639320719,0
"JP569","fuliginosa",8.66,6.97,6.853133895,0
"JP570","fuliginosa",8.68,7.02,6.892728928,0
"JP571","fuliginosa",9.59,6.9,6.797700849,0
"JP572","fuliginosa",8.67,7.04,6.908566941,0
"JP573","fuliginosa",8.53,6.35,6.36215549,0
"JP574","fuliginosa",8.175,6.72,6.658794268,1
"JP5741","fortis small",11.58,10.01,9.1,0
"JP5742","fortis large",12.555,13.015,10.455,2
"JP5743","scandens",14.47,8.92,8.63,0
"JP5744","fortis large",13.47,13.35,11.65,3
"JP5745","fortis small",11.24,10.42,9.68,0
"JP5746","fortis small",10.98,10.97,9.56,0
"JP5747","scandens",15.0433333333333,8.40666666666667,8.48333333333333,2
"JP5748","fortis small",11.7,11.1,9.85,0
"JP5749","fortis small",11.11,10.46,9.32,0
"JP575","fuliginosa",8.6,6.82,6.734348797,0
"JP5750","fortis small",11.84,9.93,8.99,0
"JP5751","fortis small",11.14,10.1,9.12,0
"JP576","fuliginosa",9.39,6.75,6.678915751,0
"JP5777","fortis small",11.59,9.94,9.11,0
"JP578","fuliginosa",8.2,6.65,6.599725686,0
"JP5781","scandens",15.2,8.27,7.84,0
"JP5782","fortis large",12.92,12.22,10.68,0
"JP5783","fortis small",12.05,10.39,9.37,0
"JP5785","fortis small",12.63,11.65,9.77,0
"JP5786","fortis small",12.57,11.67,9.96,0
"JP5787","fortis small",12.11,10.65,9.52,0
"JP5788","fortis small",9.67,8.26,7.62,0
"JP5789","fortis small",11.26,9.89,8.98,0
"JP579","fuliginosa",8.82,7.33,7.13821813,0
"JP5791","fortis small",12.64,10.73,9.66,0
"JP5792","fortis small",12.76,11.34,9.54,0
"JP580","fuliginosa",8.36,6.75,6.678915751,0
"JP5809","fortis large",12.73,12.4,10.74,0
"JP581","fuliginosa",9.01,6.66,6.607644693,0
"JP5810","fortis large",14.87,14.36,11.6,0
"JP5811","fortis large",12.47,11.99,10.33,0
"JP5812","fortis small",12.1,10.71,9.09,0
"JP5813","fortis small",11.7925,10.6925,9.83,3
"JP5814","fortis large",13.88,13,11.06,0
"JP5816","scandens",14.18,8.18,7.97,0
"JP5817","scandens",14.37,8.46,7.68,0
"JP5818","scandens",13.965,8.705,8.46,2
"JP582","fuliginosa",8.25,6.36,6.370074497,0
"JP5821","fortis small",10.32,9.42,8.46,0
"JP5822","fortis large",12.765,13.71,12.04,0
"JP5825","fortis small",11.52,10.95,9.6,0
"JP5826","fortis small",11.94,11.2,9.77,0
"JP5827","scandens",14.06,8.77,8.15,0
"JP5828","fortis large",13.43,13.52,12.19,0
"JP583","fuliginosa",8.0125,6.685,6.66543763075,1
"JP5830","scandens",15.11,9.61,8.36,0
"JP5831","fortis small",11.7,10.19,8.7,0
"JP5832","fortis small",11.67,11.5,9.81,0
"JP5833","fortis small",11.7,10.93,9.28,0
"JP5834","fortis large",12.58,12.75,11.35,0
"JP5835","fortis small",11.54,9.96,9.09,0
"JP5836","scandens",14.1,8.3,7.91,0
"JP584","fuliginosa",8.79,6.88,6.781862836,0
"JP588","fuliginosa",8.665,7.02,6.853214895,1
"JP589","fuliginosa",8.09,6.73,6.663077738,0
"JP590","fuliginosa",9.12,7.45,7.233246208,0
